adm1,sum_pop,mean_pop,min_pop,max_pop,sum_2012,sum_2013,sum_2014,sum_2015,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,perc_2012,perc_2013,perc_2014,perc_2015,perc_2016,perc_2017,perc_2018,perc_2019,perc_2020
BWA.2,15430.8,1.5,1.5,1.5,6789.0,6951.1,6538.1,7008.3,6864.9,7163.0,7337.0,7447.6,7329.3,0.44,0.4505,0.4237,0.4542,0.4449,0.4642,0.4755,0.4826,0.475
BWA.3,62730.3,4.2,0.8,4.4,54424.1,54424.1,51601.6,53241.7,51614.2,51618.4,53241.7,53272.9,53241.7,0.8676,0.8676,0.8226,0.8487,0.8228,0.8229,0.8487,0.8492,0.8487
BWA.4,111734.1,1.6,0.4,3.9,100375.7,100375.7,98857.4,100959.2,98857.4,98857.4,100959.2,99666.2,100959.2,0.8983,0.8983,0.8848,0.9036,0.8848,0.8848,0.9036,0.892,0.9036
BWA.5,29641.1,1.1,0.4,1.7,6944.4,6610.7,6931.1,7154.2,7162.1,6979.0,6834.3,6865.4,6726.5,0.2343,0.223,0.2338,0.2414,0.2416,0.2355,0.2306,0.2316,0.2269
BWA.6,1330.4,0.3,0.3,0.3,1199.2,1199.2,1176.1,1214.8,1176.1,1176.1,1214.8,1154.1,1214.8,0.9014,0.9014,0.884,0.9131,0.884,0.884,0.9131,0.8675,0.9131
BWA.7,33203.9,24.8,24.0,25.6,7882.3,7140.9,6757.0,6887.8,7035.3,6793.4,7505.9,7808.1,7734.1,0.2374,0.2151,0.2035,0.2074,0.2119,0.2046,0.2261,0.2352,0.2329
BWA.8,62435.4,14.4,14.4,17.1,31487.8,31715.2,30939.4,30285.9,31771.7,31656.8,30750.5,32353.7,31203.9,0.5043,0.508,0.4955,0.4851,0.5089,0.507,0.4925,0.5182,0.4998
BWA.9,211816.8,4.3,0.7,7.8,89967.1,91318.2,90827.5,91447.2,93789.3,93098.4,94359.8,99008.2,98076.6,0.4247,0.4311,0.4288,0.4317,0.4428,0.4395,0.4455,0.4674,0.463
CAF.1,30500.2,14.3,12.2,17.8,607.9,775.5,2991.4,2170.6,3287.7,2588.5,2401.7,4289.9,3297.7,0.0199,0.0254,0.0981,0.0712,0.1078,0.0849,0.0787,0.1407,0.1081
CAF.10,81190.0,14.4,12.4,17.8,445.6,922.3,641.3,5624.6,7203.2,7667.5,7326.7,7957.8,8139.3,0.0055,0.0114,0.0079,0.0693,0.0887,0.0944,0.0902,0.098,0.1003
CAF.11,161619.9,20.8,13.8,31.6,10715.9,3255.4,7091.0,9602.1,9772.2,9559.3,12728.4,13746.4,12446.6,0.0663,0.0201,0.0439,0.0594,0.0605,0.0591,0.0788,0.0851,0.077
CAF.12,536373.3,29.6,18.2,71.5,341998.3,343246.4,336359.5,329313.3,335401.1,337448.8,330720.6,337725.9,329462.0,0.6376,0.6399,0.6271,0.614,0.6253,0.6291,0.6166,0.6296,0.6142
CAF.13,191644.1,41.7,24.9,117.1,4967.0,2576.9,6026.8,6720.8,11986.0,16680.2,16518.0,18178.1,16925.6,0.0259,0.0134,0.0314,0.0351,0.0625,0.087,0.0862,0.0949,0.0883
CAF.14,300375.1,22.0,14.6,27.3,5469.9,8612.1,3622.5,4190.8,15319.2,10860.6,8357.7,8888.9,8333.2,0.0182,0.0287,0.0121,0.014,0.051,0.0362,0.0278,0.0296,0.0277
CAF.15,257008.8,39.8,28.4,50.3,5236.1,9404.1,4826.4,3001.1,8095.9,8562.3,7916.3,7661.6,9027.3,0.0204,0.0366,0.0188,0.0117,0.0315,0.0333,0.0308,0.0298,0.0351
CAF.16,74693.6,16.1,7.7,24.2,2761.2,401.1,513.4,613.0,477.4,397.0,440.7,486.4,472.1,0.037,0.0054,0.0069,0.0082,0.0064,0.0053,0.0059,0.0065,0.0063
CAF.17,36720.5,10.8,8.1,15.9,688.6,968.0,1111.8,1527.3,1786.5,860.4,1030.3,1046.7,1246.5,0.0188,0.0264,0.0303,0.0416,0.0487,0.0234,0.0281,0.0285,0.0339
CAF.2,144868.2,15.0,3.2,45.2,121945.0,121658.1,122739.6,121623.6,122768.3,122848.6,121797.0,121694.9,121767.1,0.8418,0.8398,0.8473,0.8395,0.8474,0.848,0.8407,0.84,0.8405
CAF.3,172159.8,28.7,13.3,44.7,3445.9,3932.2,3811.2,3713.3,4326.8,4278.9,4597.3,4245.7,8062.7,0.02,0.0228,0.0221,0.0216,0.0251,0.0249,0.0267,0.0247,0.0468
CAF.4,40326.7,26.1,19.2,37.8,215.6,1053.7,1257.9,2020.7,2689.8,3038.9,2763.8,2993.6,3302.8,0.0053,0.0261,0.0312,0.0501,0.0667,0.0754,0.0685,0.0742,0.0819
CAF.5,62272.7,13.7,10.3,22.2,555.3,777.9,564.3,3519.9,8891.2,9558.9,10543.5,12144.7,12286.6,0.0089,0.0125,0.0091,0.0565,0.1428,0.1535,0.1693,0.195,0.1973
CAF.6,81611.3,17.1,10.2,27.3,1004.1,686.3,260.1,635.8,3267.3,1077.7,615.2,780.7,401.6,0.0123,0.0084,0.0032,0.0078,0.04,0.0132,0.0075,0.0096,0.0049
CAF.7,171889.5,28.3,19.5,36.2,761.5,652.2,531.7,1442.2,416.1,491.8,986.5,1029.5,1316.2,0.0044,0.0038,0.0031,0.0084,0.0024,0.0029,0.0057,0.006,0.0077
CAF.8,246669.6,34.1,14.4,119.3,10682.4,3765.5,2557.9,3457.9,3925.6,9959.4,9945.1,7423.7,7595.6,0.0433,0.0153,0.0104,0.014,0.0159,0.0404,0.0403,0.0301,0.0308
