adm0,pop,mean_pop,min_pop,max_pop,sum_2012,sum_2013,sum_2014,sum_2015,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,hrea_2012,hrea_2013,hrea_2014,hrea_2015,hrea_2016,hrea_2017,hrea_2018,hrea_2019,hrea_2020
LBR,2462405.1,903.1,618.7,1481.7,507274.5,782986.7,786400.4,766460.8,804705.3,794626.9,760526.9,801860.6,470843.4,0.206,0.318,0.3194,0.3113,0.3268,0.3227,0.3089,0.3256,0.1912
LBY,3870319.9,62.4,53.2,67.3,2419643.6,2423559.5,2287402.5,2321303.7,2286421.5,2287690.0,2333378.3,2282391.4,2341601.5,0.6252,0.6262,0.591,0.5998,0.5908,0.5911,0.6029,0.5897,0.605
LKA,11206464.0,2716.5,1156.6,18591.0,962531.4,5319116.6,4900333.9,4988390.2,5059256.5,5019795.9,5131756.7,5260791.5,5130892.7,0.0859,0.4746,0.4373,0.4451,0.4515,0.4479,0.4579,0.4694,0.4579
LSO,491699.5,50.5,42.8,82.6,281708.3,285006.5,266766.9,288699.9,272511.6,276479.6,292616.4,288221.8,313508.5,0.5729,0.5796,0.5425,0.5871,0.5542,0.5623,0.5951,0.5862,0.6376
MAR,1751636100.8,24358.0,2105.9,433159.6,1529980778.6,1535610253.0,1523563214.5,1540694973.7,1546674293.4,1546732556.7,1541619860.2,1550404171.3,1541350095.9,0.8735,0.8767,0.8698,0.8796,0.883,0.883,0.8801,0.8851,0.8799
MDG,14086023.4,11388.4,8642.8,29011.1,1902065.2,1894096.6,1826159.5,1851176.3,1881299.4,1833898.5,1872466.4,1801976.4,1898973.0,0.135,0.1345,0.1296,0.1314,0.1336,0.1302,0.1329,0.1279,0.1348
MEX,74955416.8,19481.6,7160.9,51614.0,61609274.9,61571282.7,60541186.2,60563850.9,60489593.1,60487009.2,60528612.2,60405493.6,60516107.3,0.8219,0.8214,0.8077,0.808,0.807,0.807,0.8075,0.8059,0.8074
MLI,9914670.1,380.1,204.9,779.4,2690525.6,2704780.9,2762909.4,2713892.0,2884846.7,2936297.1,2908069.9,3021524.2,2961401.3,0.2714,0.2728,0.2787,0.2737,0.291,0.2962,0.2933,0.3048,0.2987
MMR,2167003614.9,170782.9,23986.2,1120532.2,1317435761.5,1341681202.7,1370516660.5,1407729788.4,1459568752.2,1505933516.1,1553863211.7,1601613114.2,1641412900.3,0.608,0.6191,0.6324,0.6496,0.6735,0.6949,0.7171,0.7391,0.7575
MNG,2421128.5,1864.0,1654.3,2169.5,0.0,0.0,1369516.9,1300224.4,1319718.3,1431806.2,1339646.9,1354137.6,1359825.4,0.0,0.0,0.5657,0.537,0.5451,0.5914,0.5533,0.5593,0.5616
MOZ,16169133.1,4014.7,3495.0,5210.1,4200368.2,4207691.1,4146182.2,4170273.2,4214115.7,4201081.7,4138806.6,4153483.6,4117718.7,0.2598,0.2602,0.2564,0.2579,0.2606,0.2598,0.256,0.2569,0.2547
MRT,2319306.4,223.4,130.7,1101.2,804303.9,818235.1,798649.8,831649.3,835601.2,853397.6,892004.7,890376.3,876292.3,0.3468,0.3528,0.3443,0.3586,0.3603,0.368,0.3846,0.3839,0.3778
MWI,9716030.1,2869.2,752.7,30489.3,2189389.8,2080286.5,2014055.0,2016101.1,1968359.7,1985521.9,1963817.0,1983462.2,2023152.4,0.2253,0.2141,0.2073,0.2075,0.2026,0.2044,0.2021,0.2041,0.2082
MYS,16685905.3,4000.4,3376.2,5061.5,6714185.5,6734777.5,6442979.9,6501476.4,6440861.6,6455148.8,6510660.4,10155099.8,10255460.6,0.4024,0.4036,0.3861,0.3896,0.386,0.3869,0.3902,0.6086,0.6146
NAM,1436629.2,1144.5,483.3,7323.6,500386.8,508488.7,489234.4,480669.0,502053.3,498405.4,483534.6,489296.0,486755.2,0.3483,0.3539,0.3405,0.3346,0.3495,0.3469,0.3366,0.3406,0.3388
NER,11254558.3,476.8,355.2,692.2,1443208.9,1487821.0,1465655.0,1442023.4,1491498.1,1474617.1,1467369.1,1518933.0,1517265.3,0.1282,0.1322,0.1302,0.1281,0.1325,0.131,0.1304,0.135,0.1348
NGA,101039342.5,30034.9,19974.5,46080.1,42264011.8,41661420.9,40032478.5,40209652.2,39152789.9,38392688.3,38835268.5,40069076.2,39076915.6,0.4183,0.4123,0.3962,0.398,0.3875,0.38,0.3844,0.3966,0.3867
NIC,3415232.8,2331.9,1891.4,2819.7,986636.8,999145.2,939083.5,891288.1,953019.8,970744.2,924288.2,987530.9,924071.5,0.2889,0.2926,0.275,0.261,0.279,0.2842,0.2706,0.2892,0.2706
NPL,17616464.9,268.4,65.3,9256.7,5838588.8,5694763.5,5372401.8,5374900.8,5674527.9,5508598.1,5732688.2,5769197.9,6023277.6,0.3314,0.3233,0.305,0.3051,0.3221,0.3127,0.3254,0.3275,0.3419
PAK,117388564.0,1920.8,1430.9,3176.1,66844768.1,65545666.6,59647932.6,59859430.2,60092303.9,65497023.7,62087498.5,60418667.5,60624987.7,0.5694,0.5584,0.5081,0.5099,0.5119,0.558,0.5289,0.5147,0.5164
PAN,2180125.5,4494.8,3758.2,6787.9,720495.5,727591.0,702457.6,702630.3,703496.4,711292.3,711525.3,692920.5,715633.8,0.3305,0.3337,0.3222,0.3223,0.3227,0.3263,0.3264,0.3178,0.3283
PER,17541718.4,5230.8,3691.7,8781.0,9074097.9,9074597.3,8572023.2,8542573.0,8660240.6,8634845.8,8554878.0,8776378.9,8655496.7,0.5173,0.5173,0.4887,0.487,0.4937,0.4922,0.4877,0.5003,0.4934
PHL,55957869.7,52963.0,34243.2,448159.4,16171015.9,29814248.1,28994055.1,29665844.0,29603315.0,29588212.9,29937262.8,30817312.4,31055914.3,0.289,0.5328,0.5181,0.5301,0.529,0.5288,0.535,0.5507,0.555
PNG,4190352.8,7651.8,7399.6,7887.1,656702.7,680186.8,632902.2,667221.2,645872.1,625889.5,625660.3,480907.6,647555.1,0.1567,0.1623,0.151,0.1592,0.1541,0.1494,0.1493,0.1148,0.1545
PRY,4031686.3,887.8,694.7,1126.4,2371394.3,2380479.9,2241810.8,2216174.6,2253641.4,2251403.9,2214982.4,2223411.4,2212351.1,0.5882,0.5904,0.556,0.5497,0.559,0.5584,0.5494,0.5515,0.5487
RWA,6274453.9,2163.6,1618.6,3180.3,627683.1,642939.8,627574.4,683969.4,670404.2,717366.3,750711.7,727461.3,1025704.4,0.1,0.1025,0.1,0.109,0.1068,0.1143,0.1196,0.1159,0.1635
SDN,1530870764.6,138995.2,29768.4,1381902.3,890655758.7,901714080.5,912951444.6,927729186.4,935869548.6,952495800.6,953335934.9,966138456.5,980545724.6,0.5818,0.589,0.5964,0.606,0.6113,0.6222,0.6227,0.6311,0.6405
SEN,8548321.4,1296.5,1098.2,1531.8,3227937.5,3251753.5,3096718.0,2882481.8,3143285.4,3178467.4,3039502.0,3359206.5,3282866.8,0.3776,0.3804,0.3623,0.3372,0.3677,0.3718,0.3556,0.393,0.384
SLB,320270.9,4192.7,3486.6,7477.4,38413.7,38420.2,44411.7,43668.8,43953.4,44314.7,42806.4,36854.5,44928.3,0.1199,0.12,0.1387,0.1363,0.1372,0.1384,0.1337,0.1151,0.1403
SLE,3572035.8,953.1,767.9,1190.8,252383.5,991486.7,1010091.9,991425.6,1012262.1,413494.9,1008322.6,1017448.1,439826.2,0.0707,0.2776,0.2828,0.2776,0.2834,0.1158,0.2823,0.2848,0.1231
SLV,3431119.6,2538.9,1625.2,3548.1,1440899.1,1458522.2,1388041.2,1338388.5,1389184.0,1392582.0,1358759.4,1380088.1,1358647.5,0.42,0.4251,0.4045,0.3901,0.4049,0.4059,0.396,0.4022,0.396
SOM,386338466.9,103229.6,3834.8,584917.2,165075419.4,178593429.1,186868323.8,194123611.4,201341717.2,207126030.1,215044688.2,217035380.6,221042823.8,0.4273,0.4623,0.4837,0.5025,0.5212,0.5361,0.5566,0.5618,0.5721
SSD,430598799.6,251225.8,4849.0,1570669.0,86543105.2,92646044.8,87016233.1,73318896.1,89597381.0,73577560.0,75350303.5,86228565.5,91834896.4,0.201,0.2152,0.2021,0.1703,0.2081,0.1709,0.175,0.2003,0.2133
